queue_order,target_id,name,domain,mode,submit_url,current_pricing,suggested_pricing,suggested_review_decision,suggestion_confidence,review_decision,reviewed_pricing,reviewer,reviewed_at,review_notes,evidence_url,evidence_matched,http_status,fetch_ok,payment_signal,free_signal,freemium_signal,captcha_signal,cloudflare_signal,suggestion_basis,automation_policy,manual_review_status,manual_review_url,reviewed_pricing_hint,allowed_review_decisions,manual_review_checklist,review_notes_template
1,247webdirectory,247WebDirectory,247webdirectory.com,assisted,https://www.247webdirectory.com/,unknown,unknown,keep_unknown,low,,,,,,https://www.247webdirectory.com/,yes,200,yes,no,no,no,no,no,pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://www.247webdirectory.com/,unknown,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes,"Manual browser review checked https://www.247webdirectory.com/. Suggested decision: keep_unknown (low confidence). Signals: payment=no, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
31,toolslisthq-com,https://toolslisthq.com,toolslisthq.com,assisted,https://toolslisthq.com/,unknown,paid,mark_paid,high,,,,,,https://toolslisthq.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://toolslisthq.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://toolslisthq.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
32,toolsunderradar-com,https://toolsunderradar.com,toolsunderradar.com,assisted,https://toolsunderradar.com/,unknown,paid,mark_paid,high,,,,,,https://toolsunderradar.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://toolsunderradar.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://toolsunderradar.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
33,toptrendtools-com,https://toptrendtools.com/,toptrendtools.com,assisted,https://toptrendtools.com/,unknown,paid,mark_paid,high,,,,,,https://toptrendtools.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://toptrendtools.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://toptrendtools.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
34,toshilist-com,https://toshilist.com,toshilist.com,assisted,https://toshilist.com/,unknown,paid,mark_paid,high,,,,,,https://toshilist.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://toshilist.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://toshilist.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
35,trustiner-com,https://trustiner.com,trustiner.com,assisted,https://trustiner.com/,unknown,freemium,mark_freemium,medium,,,,,,https://trustiner.com/,yes,200,yes,yes,no,yes,no,no,auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://trustiner.com/,freemium,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://trustiner.com/. Suggested decision: mark_freemium (medium confidence). Signals: payment=yes, free=no, freemium=yes, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
36,weliketools-com,https://weliketools.com,weliketools.com,assisted,https://weliketools.com/,unknown,paid,mark_paid,high,,,,,,https://weliketools.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://weliketools.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://weliketools.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
37,xinquji-com,新趣集,xinquji.com,assisted,https://xinquji.com/,unknown,unknown,needs_manual_check,low,,,,,,https://xinquji.com/,yes,200,yes,yes,no,no,yes,no,CAPTCHA/Cloudflare signal blocks reliable pricing automation; auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://xinquji.com/,unknown,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible; challenge signal was detected; keep manual/unknown unless resolved by human review,"Manual browser review checked https://xinquji.com/. Suggested decision: needs_manual_check (low confidence). Signals: payment=yes, free=no, freemium=no, captcha=yes, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
38,aitoptools,AITopTools,aitoptools.com,assisted,https://aitoptools.com/login?redirect_to=submit,unknown,unknown,keep_unknown,low,,,,,,https://aitoptools.com/login?redirect_to=submit,yes,200,yes,no,no,no,no,no,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://aitoptools.com/login?redirect_to=submit,unknown,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes,"Manual browser review checked https://aitoptools.com/login?redirect_to=submit. Suggested decision: keep_unknown (low confidence). Signals: payment=no, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
39,broadwise-org,Broadwise.org,broadwise.org,assisted,https://broadwise.org/t/how-to-promote-your-startup-on-broadwise-org/125,unknown,freemium,mark_freemium,low,,,,,,https://broadwise.org/t/how-to-promote-your-startup-on-broadwise-org/125,yes,200,yes,no,no,yes,no,no,free plus premium/sponsored signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://broadwise.org/t/how-to-promote-your-startup-on-broadwise-org/125,freemium,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes,"Manual browser review checked https://broadwise.org/t/how-to-promote-your-startup-on-broadwise-org/125. Suggested decision: mark_freemium (low confidence). Signals: payment=no, free=no, freemium=yes, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
40,dizkaz-com,笛卡,dizkaz.com,assisted,https://dizkaz.com/,unknown,unknown,keep_unknown,low,,,,,,https://dizkaz.com/,yes,200,yes,no,no,no,no,no,pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://dizkaz.com/,unknown,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes,"Manual browser review checked https://dizkaz.com/. Suggested decision: keep_unknown (low confidence). Signals: payment=no, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
41,gainweb-org,GainWeb.org,gainweb.org,assisted,https://gainweb.org/,unknown,unknown,keep_unknown,low,,,,,,https://gainweb.org/,yes,200,yes,no,no,no,no,no,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://gainweb.org/,unknown,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes,"Manual browser review checked https://gainweb.org/. Suggested decision: keep_unknown (low confidence). Signals: payment=no, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
42,openfuture-ai,OpenFuture AI,openfuture.ai,assisted,https://openfuture.ai/zh/submit-tool,unknown,unknown,keep_unknown,low,,,,,,https://openfuture.ai/zh/submit-tool,yes,200,yes,no,no,no,no,no,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://openfuture.ai/zh/submit-tool,unknown,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes,"Manual browser review checked https://openfuture.ai/zh/submit-tool. Suggested decision: keep_unknown (low confidence). Signals: payment=no, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
43,www-ruanyifeng-com,https://www.ruanyifeng.com,ruanyifeng.com,assisted,https://www.ruanyifeng.com/,unknown,unknown,keep_unknown,low,,,,,,https://www.ruanyifeng.com/,yes,200,yes,no,no,no,no,no,no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://www.ruanyifeng.com/,unknown,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes,"Manual browser review checked https://www.ruanyifeng.com/. Suggested decision: keep_unknown (low confidence). Signals: payment=no, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
44,wechalet-cn,小木屋,wechalet.cn,assisted,https://wechalet.cn/appstore/add,unknown,unknown,keep_unknown,low,,,,,,https://wechalet.cn/appstore/add,yes,200,yes,no,no,no,no,no,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://wechalet.cn/appstore/add,unknown,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes,"Manual browser review checked https://wechalet.cn/appstore/add. Suggested decision: keep_unknown (low confidence). Signals: payment=no, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
